driver,prev5_avg,prev5_points,points_behind_leader,percent_of_max,position,race_number,future_results
L. StrollAston Martin Racing,0.19379844961240308,"[8.0, 2.0]",0.12293144208037825,0.16129032258064516,0.45,0.08695652173913043,0.0
Y. TsunodaRed Bull Racing,0.05813953488372093,"[0.0, 3.0]",0.13947990543735225,0.04838709677419355,0.65,0.08695652173913043,2.0
P. GaslyAlpine,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.85,0.08695652173913043,6.0
G. BortoletoSauber,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.9,0.08695652173913043,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.95,0.08695652173913043,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,1.0,0.08695652173913043,0.0
L. NorrisMcLaren,0.8010335917312662,"[25.0, 19.0, 18.0]",0.0,1.0,0.0,0.13043478260869565,12.0
M. VerstappenRed Bull Racing,0.7881136950904392,"[18.0, 18.0, 25.0]",0.018912529550827423,0.8961038961038961,0.1,0.13043478260869565,18.0
O. PiastriMcLaren,0.6330749354005167,"[2.0, 32.0, 15.0]",0.0070921985815602835,0.961038961038961,0.05,0.13043478260869565,25.0
G. RussellMercedes,0.5813953488372093,"[15.0, 20.0, 10.0]",0.03309692671394799,0.8181818181818182,0.15,0.13043478260869565,10.0
C. LeclercFerrari,0.25839793281653745,"[4.0, 4.0, 12.0]",0.10638297872340426,0.4155844155844156,0.2,0.13043478260869565,15.0
L. HamiltonFerrari,0.19379844961240308,"[1.0, 8.0, 6.0]",0.12293144208037825,0.3246753246753247,0.3,0.13043478260869565,6.0
A. AntonelliMercedes,0.38759689922480617,"[12.0, 10.0, 8.0]",0.1111111111111111,0.38961038961038963,0.25,0.13043478260869565,8.0
A. AlbonWilliams,0.23255813953488372,"[10.0, 6.0, 2.0]",0.13947990543735225,0.23376623376623376,0.35,0.13043478260869565,2.0
C. SainzWilliams,0.012919896640826873,"[0.0, 1.0, 0.0]",0.17966903073286053,0.012987012987012988,0.75,0.13043478260869565,4.0
F. AlonsoAston Martin Racing,0.0,"[0.0, 0.0, 0.0]",0.18203309692671396,0.0,0.8,0.13043478260869565,0.0
N. HulkenbergSauber,0.07751937984496124,"[6.0, 0.0, 0.0]",0.16784869976359337,0.07792207792207792,0.5,0.13043478260869565,0.0
I. HadjarRed Bull Racing,0.05167958656330749,"[0.0, 0.0, 4.0]",0.17257683215130024,0.05194805194805195,0.7,0.13043478260869565,1.0
O. BearmanHaas F1 Team,0.06459948320413436,"[0.0, 4.0, 1.0]",0.16784869976359337,0.07792207792207792,0.55,0.13043478260869565,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0]",0.18203309692671396,0.0,0.85,0.13043478260869565,0.0
E. OconHaas F1 Team,0.12919896640826872,"[0.0, 10.0, 0.0]",0.14893617021276595,0.18181818181818182,0.4,0.13043478260869565,0.0
L. StrollAston Martin Racing,0.12919896640826872,"[8.0, 2.0, 0.0]",0.15839243498817968,0.12987012987012986,0.45,0.13043478260869565,0.0
Y. TsunodaRed Bull Racing,0.03875968992248062,"[0.0, 3.0, 0.0]",0.1702127659574468,0.06493506493506493,0.65,0.13043478260869565,0.0
P. GaslyAlpine,0.0,"[0.0, 0.0, 0.0]",0.16784869976359337,0.07792207792207792,0.6,0.13043478260869565,0.0
G. BortoletoSauber,0.0,"[0.0, 0.0, 0.0]",0.18203309692671396,0.0,0.9,0.13043478260869565,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0, 0.0]",0.18203309692671396,0.0,0.95,0.13043478260869565,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0]",0.18203309692671396,0.0,1.0,0.13043478260869565,0.0
L. NorrisMcLaren,0.7461240310077519,"[25.0, 19.0, 18.0, 15.0]",0.02364066193853428,0.898989898989899,0.05,0.17391304347826086,26.0
M. VerstappenRed Bull Racing,0.6686046511627907,"[18.0, 18.0, 25.0, 8.0]",0.028368794326241134,0.8787878787878788,0.1,0.17391304347826086,12.0
O. PiastriMcLaren,0.7170542635658914,"[2.0, 32.0, 15.0, 25.0]",0.0,1.0,0.0,0.17391304347826086,32.0
G. RussellMercedes,0.6104651162790697,"[15.0, 20.0, 10.0, 18.0]",0.061465721040189124,0.7373737373737373,0.15,0.17391304347826086,20.0
C. LeclercFerrari,0.31007751937984496,"[4.0, 4.0, 12.0, 12.0]",0.12293144208037825,0.47474747474747475,0.2,0.17391304347826086,6.0
L. HamiltonFerrari,0.24224806201550386,"[1.0, 8.0, 6.0, 10.0]",0.1607565011820331,0.31313131313131315,0.3,0.17391304347826086,10.0
A. AntonelliMercedes,0.29069767441860467,"[12.0, 10.0, 8.0, 0.0]",0.14420803782505912,0.3838383838383838,0.25,0.17391304347826086,10.0
A. AlbonWilliams,0.1744186046511628,"[10.0, 6.0, 2.0, 0.0]",0.1867612293144208,0.20202020202020202,0.35,0.17391304347826086,10.0
C. SainzWilliams,0.009689922480620155,"[0.0, 1.0, 0.0, 0.0]",0.2222222222222222,0.050505050505050504,0.65,0.17391304347826086,2.0
F. AlonsoAston Martin Racing,0.0,"[0.0, 0.0, 0.0, 0.0]",0.23404255319148937,0.0,0.8,0.17391304347826086,0.0
N. HulkenbergSauber,0.05813953488372093,"[6.0, 0.0, 0.0, 0.0]",0.2198581560283688,0.06060606060606061,0.5,0.17391304347826086,0.0
I. HadjarRed Bull Racing,0.03875968992248062,"[0.0, 0.0, 4.0, 0.0]",0.2222222222222222,0.050505050505050504,0.7,0.17391304347826086,0.0
O. BearmanHaas F1 Team,0.05813953488372093,"[0.0, 4.0, 1.0, 1.0]",0.2198581560283688,0.06060606060606061,0.55,0.17391304347826086,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0]",0.23404255319148937,0.0,0.85,0.17391304347826086,0.0
E. OconHaas F1 Team,0.13565891472868216,"[0.0, 10.0, 0.0, 4.0]",0.20094562647754138,0.1414141414141414,0.4,0.17391304347826086,0.0
L. StrollAston Martin Racing,0.09689922480620154,"[8.0, 2.0, 0.0, 0.0]",0.21040189125295508,0.10101010101010101,0.45,0.17391304347826086,4.0
Y. TsunodaRed Bull Racing,0.04844961240310077,"[0.0, 3.0, 0.0, 2.0]",0.2222222222222222,0.050505050505050504,0.75,0.17391304347826086,4.0
P. GaslyAlpine,0.05813953488372093,"[0.0, 0.0, 0.0, 6.0]",0.2198581560283688,0.06060606060606061,0.6,0.17391304347826086,1.0
G. BortoletoSauber,0.0,"[0.0, 0.0, 0.0, 0.0]",0.23404255319148937,0.0,0.9,0.17391304347826086,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0, 0.0, 0.0]",0.23404255319148937,0.0,0.95,0.17391304347826086,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0]",0.23404255319148937,0.0,1.0,0.17391304347826086,0.0
L. NorrisMcLaren,0.689922480620155,"[25.0, 19.0, 18.0, 15.0, 12.0]",0.037825059101654845,0.8778625954198473,0.05,0.21739130434782608,18.0
M. VerstappenRed Bull Racing,0.6744186046511628,"[18.0, 18.0, 25.0, 8.0, 18.0]",0.07565011820330969,0.7557251908396947,0.1,0.21739130434782608,25.0
O. PiastriMcLaren,0.7674418604651163,"[2.0, 32.0, 15.0, 25.0, 25.0]",0.0,1.0,0.0,0.21739130434782608,15.0
G. RussellMercedes,0.5658914728682171,"[15.0, 20.0, 10.0, 18.0, 10.0]",0.08983451536643026,0.7099236641221374,0.15,0.21739130434782608,6.0
C. LeclercFerrari,0.3643410852713178,"[4.0, 4.0, 12.0, 12.0, 15.0]",0.18439716312056736,0.40458015267175573,0.2,0.21739130434782608,8.0
L. HamiltonFerrari,0.24031007751937986,"[1.0, 8.0, 6.0, 10.0, 6.0]",0.2127659574468085,0.31297709923664124,0.3,0.21739130434782608,12.0
A. AntonelliMercedes,0.2945736434108527,"[12.0, 10.0, 8.0, 0.0, 8.0]",0.19621749408983452,0.366412213740458,0.25,0.21739130434782608,0.0
A. AlbonWilliams,0.15503875968992248,"[10.0, 6.0, 2.0, 0.0, 2.0]",0.23877068557919623,0.22900763358778625,0.35,0.21739130434782608,10.0
C. SainzWilliams,0.03875968992248062,"[0.0, 1.0, 0.0, 0.0, 4.0]",0.29314420803782504,0.05343511450381679,0.55,0.21739130434782608,4.0
F. AlonsoAston Martin Racing,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30969267139479906,0.0,0.8,0.21739130434782608,0.0
N. HulkenbergSauber,0.046511627906976744,"[6.0, 0.0, 0.0, 0.0, 0.0]",0.29550827423167847,0.04580152671755725,0.65,0.21739130434782608,0.0
I. HadjarRed Bull Racing,0.03875968992248062,"[0.0, 0.0, 4.0, 0.0, 1.0]",0.2978723404255319,0.03816793893129771,0.75,0.21739130434782608,2.0
O. BearmanHaas F1 Team,0.046511627906976744,"[0.0, 4.0, 1.0, 1.0, 0.0]",0.29550827423167847,0.04580152671755725,0.7,0.21739130434782608,0.0
