driver,prev5_avg,prev5_points,points_behind_leader,percent_of_max,position,race_number,future_results
Y. TsunodaRacing Bulls,0.0,"[0.0, 0.0]",0.10297482837528604,0.11764705882352941,0.43478260869565216,0.08695652173913043,1.0
L. StrollAston Martin Racing,0.019230769230769232,"[1.0, 0.0]",0.09610983981693363,0.17647058823529413,0.34782608695652173,0.08695652173913043,0.0
E. OconAlpine,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.6521739130434783,0.08695652173913043,0.0
K. MagnussenHaas F1 Team,0.0,"[0.0, 0.0]",0.11441647597254005,0.0196078431372549,0.5652173913043478,0.08695652173913043,0.0
A. AlbonWilliams,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.6956521739130435,0.08695652173913043,0.0
D. RicciardoRacing Bulls,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.7391304347826086,0.08695652173913043,0.0
O. BearmanHaas F1 Team,0.11538461538461539,"[0.0, 6.0]",0.10297482837528604,0.11764705882352941,0.4782608695652174,0.08695652173913043,0.0
F. ColapintoWilliams,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.782608695652174,0.08695652173913043,0.0
Z. GuanyuSauber,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.8260869565217391,0.08695652173913043,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.8695652173913043,0.08695652173913043,0.0
V. BottasSauber,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.9130434782608695,0.08695652173913043,0.0
L. SargeantWilliams,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,0.9565217391304348,0.08695652173913043,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0]",0.11670480549199085,0.0,1.0,0.08695652173913043,0.0
M. VerstappenRed Bull Racing,0.6538461538461539,"[26.0, 25.0, 0.0]",0.0,1.0,0.0,0.13043478260869565,33.0
L. NorrisMcLaren,0.34615384615384615,"[8.0, 4.0, 15.0]",0.09153318077803203,0.4805194805194805,0.17391304347826086,0.13043478260869565,21.0
C. LeclercFerrari,0.6025641025641025,"[12.0, 16.0, 19.0]",0.041189931350114416,0.7662337662337663,0.08695652173913043,0.13043478260869565,17.0
O. PiastriMcLaren,0.358974358974359,"[4.0, 12.0, 12.0]",0.10297482837528604,0.4155844155844156,0.21739130434782608,0.13043478260869565,6.0
C. SainzFerrari,0.5128205128205129,"[15.0, 0.0, 25.0]",0.05034324942791762,0.7142857142857143,0.13043478260869565,0.13043478260869565,14.0
G. RussellMercedes,0.23076923076923078,"[10.0, 8.0, 0.0]",0.12128146453089245,0.3116883116883117,0.2608695652173913,0.13043478260869565,9.0
L. HamiltonMercedes,0.10256410256410256,"[6.0, 2.0, 0.0]",0.15331807780320367,0.12987012987012986,0.34782608695652173,0.13043478260869565,9.0
S. PerezRed Bull Racing,0.5897435897435898,"[18.0, 18.0, 10.0]",0.029748283752860413,0.8311688311688312,0.043478260869565216,0.13043478260869565,21.0
F. AlonsoAston Martin Racing,0.20512820512820512,"[2.0, 10.0, 4.0]",0.12128146453089245,0.3116883116883117,0.30434782608695654,0.13043478260869565,7.0
P. GaslyAlpine,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.6086956521739131,0.13043478260869565,0.0
N. HulkenbergHaas F1 Team,0.038461538461538464,"[0.0, 1.0, 2.0]",0.16933638443935928,0.03896103896103896,0.5217391304347826,0.13043478260869565,1.0
Y. TsunodaRacing Bulls,0.07692307692307693,"[0.0, 0.0, 6.0]",0.16018306636155608,0.09090909090909091,0.43478260869565216,0.13043478260869565,0.0
L. StrollAston Martin Racing,0.11538461538461539,"[1.0, 0.0, 8.0]",0.15560640732265446,0.11688311688311688,0.391304347826087,0.13043478260869565,0.0
E. OconAlpine,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.6521739130434783,0.13043478260869565,0.0
K. MagnussenHaas F1 Team,0.01282051282051282,"[0.0, 0.0, 1.0]",0.17391304347826086,0.012987012987012988,0.5652173913043478,0.13043478260869565,0.0
A. AlbonWilliams,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.6956521739130435,0.13043478260869565,0.0
D. RicciardoRacing Bulls,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.7391304347826086,0.13043478260869565,0.0
O. BearmanHaas F1 Team,0.07692307692307693,"[0.0, 6.0, 0.0]",0.16247139588100687,0.07792207792207792,0.4782608695652174,0.13043478260869565,0.0
F. ColapintoWilliams,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.782608695652174,0.13043478260869565,0.0
Z. GuanyuSauber,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.8260869565217391,0.13043478260869565,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.8695652173913043,0.13043478260869565,0.0
V. BottasSauber,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.9130434782608695,0.13043478260869565,0.0
L. SargeantWilliams,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,0.9565217391304348,0.13043478260869565,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0]",0.17620137299771166,0.0,1.0,0.13043478260869565,0.0
M. VerstappenRed Bull Racing,0.7403846153846154,"[26.0, 25.0, 0.0, 26.0]",0.0,1.0,0.0,0.17391304347826086,26.0
L. NorrisMcLaren,0.3557692307692308,"[8.0, 4.0, 15.0, 10.0]",0.11899313501144165,0.5272727272727272,0.17391304347826086,0.17391304347826086,25.0
C. LeclercFerrari,0.5673076923076923,"[12.0, 16.0, 19.0, 12.0]",0.07780320366132723,0.6909090909090909,0.08695652173913043,0.17391304347826086,22.0
O. PiastriMcLaren,0.3076923076923077,"[4.0, 12.0, 12.0, 4.0]",0.16475972540045766,0.34545454545454546,0.21739130434782608,0.17391304347826086,3.0
C. SainzFerrari,0.5288461538461539,"[15.0, 0.0, 25.0, 15.0]",0.09382151029748284,0.6272727272727273,0.13043478260869565,0.17391304347826086,14.0
G. RussellMercedes,0.23076923076923078,"[10.0, 8.0, 0.0, 6.0]",0.17620137299771166,0.3,0.2608695652173913,0.17391304347826086,4.0
L. HamiltonMercedes,0.09615384615384616,"[6.0, 2.0, 0.0, 2.0]",0.20823798627002288,0.17272727272727273,0.34782608695652173,0.17391304347826086,8.0
S. PerezRed Bull Racing,0.6153846153846154,"[18.0, 18.0, 10.0, 18.0]",0.057208237986270026,0.7727272727272727,0.043478260869565216,0.17391304347826086,18.0
F. AlonsoAston Martin Racing,0.23076923076923078,"[2.0, 10.0, 4.0, 8.0]",0.18077803203661327,0.2818181818181818,0.30434782608695654,0.17391304347826086,2.0
P. GaslyAlpine,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.6086956521739131,0.17391304347826086,0.0
N. HulkenbergHaas F1 Team,0.028846153846153848,"[0.0, 1.0, 2.0, 0.0]",0.2425629290617849,0.03636363636363636,0.5217391304347826,0.17391304347826086,2.0
Y. TsunodaRacing Bulls,0.0673076923076923,"[0.0, 0.0, 6.0, 1.0]",0.23569794050343248,0.06363636363636363,0.43478260869565216,0.17391304347826086,7.0
L. StrollAston Martin Racing,0.08653846153846154,"[1.0, 0.0, 8.0, 0.0]",0.2311212814645309,0.08181818181818182,0.391304347826087,0.17391304347826086,0.0
E. OconAlpine,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.6521739130434783,0.17391304347826086,1.0
K. MagnussenHaas F1 Team,0.009615384615384616,"[0.0, 0.0, 1.0, 0.0]",0.2494279176201373,0.00909090909090909,0.5652173913043478,0.17391304347826086,0.0
A. AlbonWilliams,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.6956521739130435,0.17391304347826086,0.0
D. RicciardoRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.7391304347826086,0.17391304347826086,5.0
O. BearmanHaas F1 Team,0.057692307692307696,"[0.0, 6.0, 0.0, 0.0]",0.2379862700228833,0.05454545454545454,0.4782608695652174,0.17391304347826086,0.0
F. ColapintoWilliams,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.782608695652174,0.17391304347826086,0.0
Z. GuanyuSauber,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.8260869565217391,0.17391304347826086,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.8695652173913043,0.17391304347826086,0.0
V. BottasSauber,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.9130434782608695,0.17391304347826086,0.0
L. SargeantWilliams,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,0.9565217391304348,0.17391304347826086,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0]",0.2517162471395881,0.0,1.0,0.17391304347826086,0.0
M. VerstappenRed Bull Racing,0.8461538461538461,"[26.0, 25.0, 0.0, 26.0, 33.0]",0.0,1.0,0.0,0.21739130434782608,25.0
L. NorrisMcLaren,0.4461538461538461,"[8.0, 4.0, 15.0, 10.0, 21.0]",0.12128146453089245,0.6102941176470589,0.13043478260869565,0.21739130434782608,18.0
C. LeclercFerrari,0.5846153846153845,"[12.0, 16.0, 19.0, 12.0, 17.0]",0.08695652173913043,0.7205882352941176,0.08695652173913043,0.21739130434782608,15.0
O. PiastriMcLaren,0.29230769230769227,"[4.0, 12.0, 12.0, 4.0, 6.0]",0.21739130434782608,0.3014705882352941,0.21739130434782608,0.21739130434782608,12.0
C. SainzFerrari,0.5307692307692308,"[15.0, 0.0, 25.0, 15.0, 14.0]",0.12128146453089245,0.6102941176470589,0.17391304347826086,0.21739130434782608,10.0
G. RussellMercedes,0.25384615384615383,"[10.0, 8.0, 0.0, 6.0, 9.0]",0.22654462242562928,0.27205882352941174,0.2608695652173913,0.21739130434782608,7.0
L. HamiltonMercedes,0.14615384615384613,"[6.0, 2.0, 0.0, 2.0, 9.0]",0.2494279176201373,0.19852941176470587,0.34782608695652173,0.21739130434782608,8.0
S. PerezRed Bull Racing,0.6538461538461539,"[18.0, 18.0, 10.0, 18.0, 21.0]",0.07551487414187644,0.7573529411764706,0.043478260869565216,0.21739130434782608,4.0
F. AlonsoAston Martin Racing,0.23846153846153847,"[2.0, 10.0, 4.0, 8.0, 7.0]",0.23569794050343248,0.2426470588235294,0.30434782608695654,0.21739130434782608,0.0
P. GaslyAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,0.6956521739130435,0.21739130434782608,0.0
N. HulkenbergHaas F1 Team,0.03076923076923077,"[0.0, 1.0, 2.0, 0.0, 1.0]",0.2974828375286041,0.04411764705882353,0.4782608695652174,0.21739130434782608,0.0
Y. TsunodaRacing Bulls,0.05384615384615384,"[0.0, 0.0, 6.0, 1.0, 0.0]",0.2791762013729977,0.10294117647058823,0.391304347826087,0.21739130434782608,1.0
L. StrollAston Martin Racing,0.06923076923076923,"[1.0, 0.0, 8.0, 0.0, 0.0]",0.2906178489702517,0.0661764705882353,0.43478260869565216,0.21739130434782608,2.0
E. OconAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30892448512585813,0.007352941176470588,0.6086956521739131,0.21739130434782608,0.0
K. MagnussenHaas F1 Team,0.007692307692307693,"[0.0, 0.0, 1.0, 0.0, 0.0]",0.30892448512585813,0.007352941176470588,0.6521739130434783,0.21739130434782608,0.0
A. AlbonWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,0.7391304347826086,0.21739130434782608,0.0
D. RicciardoRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.2997711670480549,0.03676470588235294,0.5652173913043478,0.21739130434782608,0.0
O. BearmanHaas F1 Team,0.04615384615384615,"[0.0, 6.0, 0.0, 0.0, 0.0]",0.2974828375286041,0.04411764705882353,0.5217391304347826,0.21739130434782608,0.0
F. ColapintoWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,0.782608695652174,0.21739130434782608,0.0
Z. GuanyuSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,0.8260869565217391,0.21739130434782608,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,0.8695652173913043,0.21739130434782608,0.0
V. BottasSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,0.9130434782608695,0.21739130434782608,0.0
L. SargeantWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,0.9565217391304348,0.21739130434782608,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3112128146453089,0.0,1.0,0.21739130434782608,0.0
M. VerstappenRed Bull Racing,0.8461538461538461,"[25.0, 0.0, 26.0, 33.0, 26.0]",0.0,1.0,0.0,0.2608695652173913,8.0
L. NorrisMcLaren,0.5769230769230769,"[4.0, 15.0, 10.0, 21.0, 25.0]",0.13729977116704806,0.6273291925465838,0.13043478260869565,0.2608695652173913,12.0
C. LeclercFerrari,0.6615384615384615,"[16.0, 19.0, 12.0, 17.0, 22.0]",0.10983981693363844,0.7018633540372671,0.043478260869565216,0.2608695652173913,25.0
O. PiastriMcLaren,0.2846153846153846,"[12.0, 12.0, 4.0, 6.0, 3.0]",0.2471395881006865,0.32919254658385094,0.21739130434782608,0.2608695652173913,18.0
C. SainzFerrari,0.5230769230769231,"[0.0, 25.0, 15.0, 14.0, 14.0]",0.15560640732265446,0.577639751552795,0.17391304347826086,0.2608695652173913,15.0
G. RussellMercedes,0.2076923076923077,"[8.0, 0.0, 6.0, 9.0, 4.0]",0.26773455377574373,0.2732919254658385,0.2608695652173913,0.2608695652173913,10.0
L. HamiltonMercedes,0.16153846153846155,"[2.0, 0.0, 2.0, 9.0, 8.0]",0.28832951945080093,0.21739130434782608,0.30434782608695654,0.2608695652173913,7.0
S. PerezRed Bull Racing,0.6538461538461539,"[18.0, 10.0, 18.0, 21.0, 18.0]",0.12356979405034325,0.6645962732919255,0.08695652173913043,0.2608695652173913,0.0
F. AlonsoAston Martin Racing,0.23846153846153847,"[10.0, 4.0, 8.0, 7.0, 2.0]",0.2929061784897025,0.20496894409937888,0.34782608695652173,0.2608695652173913,0.0
P. GaslyAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,0.6956521739130435,0.2608695652173913,1.0
N. HulkenbergHaas F1 Team,0.04615384615384615,"[1.0, 2.0, 0.0, 1.0, 2.0]",0.35469107551487417,0.037267080745341616,0.4782608695652174,0.2608695652173913,0.0
Y. TsunodaRacing Bulls,0.10769230769230768,"[0.0, 6.0, 1.0, 0.0, 7.0]",0.3340961098398169,0.09316770186335403,0.391304347826087,0.2608695652173913,4.0
L. StrollAston Martin Racing,0.06153846153846154,"[0.0, 8.0, 0.0, 0.0, 0.0]",0.34324942791762014,0.06832298136645963,0.43478260869565216,0.2608695652173913,0.0
E. OconAlpine,0.007692307692307693,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.36613272311212813,0.006211180124223602,0.6086956521739131,0.2608695652173913,0.0
K. MagnussenHaas F1 Team,0.007692307692307693,"[0.0, 1.0, 0.0, 0.0, 0.0]",0.36613272311212813,0.006211180124223602,0.6521739130434783,0.2608695652173913,0.0
A. AlbonWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,0.7391304347826086,0.2608695652173913,2.0
D. RicciardoRacing Bulls,0.038461538461538464,"[0.0, 0.0, 0.0, 0.0, 5.0]",0.35697940503432496,0.031055900621118012,0.5652173913043478,0.2608695652173913,0.0
O. BearmanHaas F1 Team,0.04615384615384615,"[6.0, 0.0, 0.0, 0.0, 0.0]",0.35469107551487417,0.037267080745341616,0.5217391304347826,0.2608695652173913,0.0
F. ColapintoWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,0.782608695652174,0.2608695652173913,0.0
Z. GuanyuSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,0.8260869565217391,0.2608695652173913,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,0.8695652173913043,0.2608695652173913,0.0
V. BottasSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,0.9130434782608695,0.2608695652173913,0.0
L. SargeantWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,0.9565217391304348,0.2608695652173913,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3684210526315789,0.0,1.0,0.2608695652173913,0.0
M. VerstappenRed Bull Racing,0.8461538461538461,"[0.0, 26.0, 33.0, 26.0, 25.0]",0.0,1.0,0.0,0.30434782608695654,25.0
L. NorrisMcLaren,0.6846153846153846,"[15.0, 10.0, 21.0, 25.0, 18.0]",0.12814645308924486,0.6686390532544378,0.08695652173913043,0.30434782608695654,18.0
C. LeclercFerrari,0.6538461538461539,"[19.0, 12.0, 17.0, 22.0, 15.0]",0.07093821510297482,0.8165680473372781,0.043478260869565216,0.30434782608695654,0.0
O. PiastriMcLaren,0.2846153846153846,"[12.0, 4.0, 6.0, 3.0, 12.0]",0.2242562929061785,0.42011834319526625,0.21739130434782608,0.30434782608695654,10.0
C. SainzFerrari,0.6,"[25.0, 15.0, 14.0, 14.0, 10.0]",0.13958810068649885,0.6390532544378699,0.13043478260869565,0.30434782608695654,0.0
G. RussellMercedes,0.2,"[0.0, 6.0, 9.0, 4.0, 7.0]",0.2631578947368421,0.31952662721893493,0.2608695652173913,0.30434782608695654,15.0
L. HamiltonMercedes,0.2076923076923077,"[0.0, 2.0, 9.0, 8.0, 8.0]",0.2906178489702517,0.2485207100591716,0.30434782608695654,0.30434782608695654,13.0
S. PerezRed Bull Racing,0.5461538461538461,"[10.0, 18.0, 21.0, 18.0, 4.0]",0.14187643020594964,0.6331360946745562,0.17391304347826086,0.30434782608695654,0.0
F. AlonsoAston Martin Racing,0.16153846153846155,"[4.0, 8.0, 7.0, 2.0, 0.0]",0.3112128146453089,0.1952662721893491,0.34782608695652173,0.30434782608695654,8.0
P. GaslyAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38443935926773454,0.005917159763313609,0.6521739130434783,0.30434782608695654,2.0
N. HulkenbergHaas F1 Team,0.038461538461538464,"[2.0, 0.0, 1.0, 2.0, 0.0]",0.37299771167048057,0.03550295857988166,0.4782608695652174,0.30434782608695654,0.0
Y. TsunodaRacing Bulls,0.11538461538461539,"[6.0, 1.0, 0.0, 7.0, 1.0]",0.34324942791762014,0.11242603550295859,0.391304347826087,0.30434782608695654,0.0
L. StrollAston Martin Racing,0.07692307692307693,"[8.0, 0.0, 0.0, 0.0, 2.0]",0.36155606407322655,0.0650887573964497,0.43478260869565216,0.30434782608695654,6.0
E. OconAlpine,0.007692307692307693,"[0.0, 0.0, 0.0, 1.0, 0.0]",0.38443935926773454,0.005917159763313609,0.6956521739130435,0.30434782608695654,1.0
K. MagnussenHaas F1 Team,0.007692307692307693,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.38443935926773454,0.005917159763313609,0.7391304347826086,0.30434782608695654,0.0
A. AlbonWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38215102974828374,0.011834319526627219,0.6086956521739131,0.30434782608695654,0.0
D. RicciardoRacing Bulls,0.038461538461538464,"[0.0, 0.0, 0.0, 5.0, 0.0]",0.37528604118993136,0.029585798816568046,0.5652173913043478,0.30434782608695654,4.0
O. BearmanHaas F1 Team,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.37299771167048057,0.03550295857988166,0.5217391304347826,0.30434782608695654,0.0
F. ColapintoWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38672768878718533,0.0,0.782608695652174,0.30434782608695654,0.0
Z. GuanyuSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38672768878718533,0.0,0.8260869565217391,0.30434782608695654,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38672768878718533,0.0,0.8695652173913043,0.30434782608695654,0.0
V. BottasSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38672768878718533,0.0,0.9130434782608695,0.30434782608695654,0.0
L. SargeantWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38672768878718533,0.0,0.9565217391304348,0.30434782608695654,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38672768878718533,0.0,1.0,0.30434782608695654,0.0
M. VerstappenRed Bull Racing,0.9076923076923078,"[26.0, 33.0, 26.0, 25.0, 8.0]",0.0,1.0,0.0,0.34782608695652173,25.0
L. NorrisMcLaren,0.6615384615384615,"[10.0, 21.0, 25.0, 18.0, 12.0]",0.14416475972540047,0.6752577319587629,0.08695652173913043,0.34782608695652173,19.0
C. LeclercFerrari,0.7,"[12.0, 17.0, 22.0, 15.0, 25.0]",0.12814645308924486,0.711340206185567,0.043478260869565216,0.34782608695652173,10.0
O. PiastriMcLaren,0.33076923076923076,"[4.0, 6.0, 3.0, 12.0, 18.0]",0.2585812356979405,0.4175257731958763,0.21739130434782608,0.34782608695652173,6.0
C. SainzFerrari,0.5230769230769231,"[15.0, 14.0, 14.0, 10.0, 15.0]",0.19679633867276888,0.5567010309278351,0.13043478260869565,0.34782608695652173,8.0
G. RussellMercedes,0.27692307692307694,"[6.0, 9.0, 4.0, 7.0, 10.0]",0.28604118993135014,0.3556701030927835,0.2608695652173913,0.34782608695652173,12.0
L. HamiltonMercedes,0.26153846153846155,"[2.0, 9.0, 8.0, 8.0, 7.0]",0.3180778032036613,0.28350515463917525,0.30434782608695654,0.34782608695652173,15.0
S. PerezRed Bull Racing,0.46923076923076923,"[18.0, 21.0, 18.0, 4.0, 0.0]",0.19908466819221968,0.5515463917525774,0.17391304347826086,0.34782608695652173,4.0
F. AlonsoAston Martin Racing,0.13076923076923078,"[8.0, 7.0, 2.0, 0.0, 0.0]",0.3501144164759725,0.211340206185567,0.34782608695652173,0.34782608695652173,0.0
P. GaslyAlpine,0.007692307692307693,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.43707093821510296,0.015463917525773196,0.6086956521739131,0.34782608695652173,2.0
N. HulkenbergHaas F1 Team,0.023076923076923075,"[0.0, 1.0, 2.0, 0.0, 0.0]",0.4302059496567506,0.030927835051546393,0.5217391304347826,0.34782608695652173,0.0
Y. TsunodaRacing Bulls,0.1,"[1.0, 0.0, 7.0, 1.0, 4.0]",0.40045766590389015,0.0979381443298969,0.391304347826087,0.34782608695652173,0.0
L. StrollAston Martin Racing,0.015384615384615385,"[0.0, 0.0, 0.0, 2.0, 0.0]",0.40503432494279173,0.08762886597938144,0.43478260869565216,0.34782608695652173,0.0
E. OconAlpine,0.007692307692307693,"[0.0, 0.0, 1.0, 0.0, 0.0]",0.43935926773455375,0.010309278350515464,0.6521739130434783,0.34782608695652173,1.0
K. MagnussenHaas F1 Team,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4416475972540046,0.005154639175257732,0.7391304347826086,0.34782608695652173,0.0
A. AlbonWilliams,0.015384615384615385,"[0.0, 0.0, 0.0, 0.0, 2.0]",0.43935926773455375,0.010309278350515464,0.6956521739130435,0.34782608695652173,0.0
D. RicciardoRacing Bulls,0.038461538461538464,"[0.0, 0.0, 5.0, 0.0, 0.0]",0.4233409610983982,0.04639175257731959,0.4782608695652174,0.34782608695652173,0.0
O. BearmanHaas F1 Team,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4302059496567506,0.030927835051546393,0.5652173913043478,0.34782608695652173,0.0
F. ColapintoWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4439359267734554,0.0,0.782608695652174,0.34782608695652173,0.0
Z. GuanyuSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4439359267734554,0.0,0.8260869565217391,0.34782608695652173,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4439359267734554,0.0,0.8695652173913043,0.34782608695652173,0.0
V. BottasSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4439359267734554,0.0,0.9130434782608695,0.34782608695652173,0.0
L. SargeantWilliams,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4439359267734554,0.0,0.9565217391304348,0.34782608695652173,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4439359267734554,0.0,1.0,0.34782608695652173,0.0
M. VerstappenRed Bull Racing,0.8999999999999999,"[33.0, 26.0, 25.0, 8.0, 25.0]",0.0,1.0,0.0,0.391304347826087,18.0
L. NorrisMcLaren,0.7230769230769231,"[21.0, 25.0, 18.0, 12.0, 18.0]",0.15789473684210525,0.684931506849315,0.043478260869565216,0.391304347826087,6.0
C. LeclercFerrari,0.6076923076923078,"[17.0, 22.0, 15.0, 25.0, 0.0]",0.16247139588100687,0.6757990867579908,0.08695652173913043,0.391304347826087,2.0
O. PiastriMcLaren,0.37692307692307697,"[6.0, 3.0, 12.0, 18.0, 10.0]",0.30205949656750575,0.3972602739726027,0.21739130434782608,0.391304347826087,25.0
C. SainzFerrari,0.4076923076923077,"[14.0, 14.0, 10.0, 15.0, 0.0]",0.23569794050343248,0.5296803652968036,0.13043478260869565,0.391304347826087,19.0
G. RussellMercedes,0.34615384615384615,"[9.0, 4.0, 7.0, 10.0, 15.0]",0.3157894736842105,0.3698630136986301,0.2608695652173913,0.391304347826087,30.0
L. HamiltonMercedes,0.34615384615384615,"[9.0, 8.0, 8.0, 7.0, 13.0]",0.34096109839816935,0.319634703196347,0.30434782608695654,0.391304347826087,15.0
S. PerezRed Bull Racing,0.33076923076923076,"[21.0, 18.0, 4.0, 0.0, 0.0]",0.2471395881006865,0.5068493150684932,0.17391304347826086,0.391304347826087,7.0
F. AlonsoAston Martin Racing,0.13076923076923078,"[7.0, 2.0, 0.0, 0.0, 8.0]",0.4073226544622426,0.1872146118721461,0.34782608695652173,0.391304347826087,0.0
P. GaslyAlpine,0.023076923076923075,"[0.0, 0.0, 0.0, 1.0, 2.0]",0.4897025171624714,0.0228310502283105,0.6086956521739131,0.391304347826087,1.0
N. HulkenbergHaas F1 Team,0.023076923076923075,"[1.0, 2.0, 0.0, 0.0, 0.0]",0.4874141876430206,0.0273972602739726,0.5217391304347826,0.391304347826087,8.0
Y. TsunodaRacing Bulls,0.0923076923076923,"[0.0, 7.0, 1.0, 4.0, 0.0]",0.4576659038901602,0.0867579908675799,0.391304347826087,0.391304347826087,0.0
L. StrollAston Martin Racing,0.06153846153846154,"[0.0, 0.0, 2.0, 0.0, 6.0]",0.4622425629290618,0.0776255707762557,0.43478260869565216,0.391304347826087,0.0
E. OconAlpine,0.015384615384615385,"[0.0, 1.0, 0.0, 0.0, 1.0]",0.494279176201373,0.0136986301369863,0.6521739130434783,0.391304347826087,0.0
K. MagnussenHaas F1 Team,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4988558352402746,0.0045662100456621,0.7391304347826086,0.391304347826087,4.0
